locality, median
ABBOTSFORD,1341500
ABERFELDIE,1860000
AINTREE,760000
AIREYS INLET,1725000
AIRPORT WEST,926500
ALBANVALE,600000
ALBERT PARK,2475000
ALBION,830000
ALEXANDRA,550000
ALFREDTON,650000
ALLANSFORD,573500
ALPHINGTON,2195000
ALTONA,1175000
ALTONA EAST,1080000
ALTONA MEADOWS,740000
ALTONA NORTH,957500
ANGLESEA,1717500
APOLLO BAY,1000000
ARARAT,381000
ARDEER,682000
ARMADALE,2714500
ARMSTRONG CREEK,720000
ASCOT (GREATER BENDIGO),595000
ASCOT VALE,1315000
ASHBURTON,2005000
ASHWOOD,1585000
ASPENDALE,1420000
ASPENDALE GARDENS,1150000
ATTWOOD,990500
AVENEL,497500
AVOCA,375000
AVONDALE HEIGHTS,990000
AVONSLEIGH,837500
AXEDALE,520000
BACCHUS MARSH,665000
BADGER CREEK,715000
BAIRNSDALE,440000
BALACLAVA,1527000
BALCOMBE,1852500
BALLAN,640000
BALLARAT CENTRAL,680000
BALLARAT EAST,530000
BALLARAT NORTH,627500
BALNARRING,1327500
BALNARRING BEACH,1885000
BALWYN,2850500
BALWYN NORTH,2230000
BANDIANA,599500
BANNOCKBURN,729500
BARANDUDA,645500
BARNAWARTHA,469000
BARWON HEADS,1800000
BAXTER,717500
BAYSWATER,902000
BAYSWATER NORTH,869500
BEACONSFIELD,940000
BEACONSFIELD UPPER,1205000
BEAUFORT,415000
BEAUMARIS,2070000
BEEAC,537500
BEECHWORTH,703000
BELGRAVE,850000
BELGRAVE HEIGHTS,1055500
BELGRAVE SOUTH,919000
BELL PARK,640000
BELL POST HILL,678000
BELLFIELD (BANYULE),937500
BELMONT,740000
BENALLA,432000
BENDIGO,681500
BENTLEIGH,1726500
BENTLEIGH EAST,1500000
BERWICK,885000
BEVERIDGE,663000
BIRCHIP,170000
BIRREGURRA,700000
BITTERN,832500
BLACK HILL,642500
BLACK ROCK,2557500
BLACKBURN,1551000
BLACKBURN NORTH,1230000
BLACKBURN SOUTH,1295000
BLACKWOOD,599000
BLAIRGOWRIE,1725000
BLIND BIGHT,705000
BONBEACH,1180000
BONNIE BROOK,650000
BONNIE DOON,670000
BONSHAW,560000
BOOLARRA,362500
BOORT,225000
BORONIA,832500
BOTANIC RIDGE,930000
BOX HILL,1713500
BOX HILL NORTH,1325000
BOX HILL SOUTH,1439000
BRAYBROOK,795000
BREAKWATER,580000
BRIAGOLONG,415000
BRIAR HILL,979000
BRIDGEWATER ON LODDON,326500
BRIGHT,1210000
BRIGHTON,3450000
BRIGHTON EAST,2312500
BROADFORD,570000
BROADMEADOWS,603500
BROOKFIELD,570000
BROOKLYN,811500
BROWN HILL,601000
BRUNSWICK,1325000
BRUNSWICK EAST,1355000
BRUNSWICK WEST,1285500
BRUTHEN,455000
BULLEEN,1395000
BUNDALONG,2519000
BUNDOORA,853000
BUNINYONG,770000
BUNYIP,750000
BURNLEY,1565000
BURNSIDE,780000
BURNSIDE HEIGHTS,749000
BURWOOD,1381000
BURWOOD EAST,1257500
CAIRNLEA,941500
CALIFORNIA GULLY,463000
CAMBERWELL,2650000
CAMPBELLFIELD,605000
CAMPBELLS CREEK,715000
CAMPERDOWN,408000
CANADIAN,580000
CANTERBURY,3490000
CAPE PATERSON,900000
CAPE SCHANCK,1230000
CAPEL SOUND,812500
CARDIGAN,1150000
CARISBROOK,485000
CARLTON,1500000
CARLTON NORTH,1645000
CARNEGIE,1683500
CAROLINE SPRINGS,749000
CARRUM,992500
CARRUM DOWNS,715000
CASTERTON,300000
CASTLEMAINE,727500
CAULFIELD,2079000
CAULFIELD NORTH,2645000
CAULFIELD SOUTH,1845000
CHADSTONE,1172500
CHARLEMONT,650000
CHARLTON,300000
CHELSEA,1135000
CHELSEA HEIGHTS,935000
CHELTENHAM,1359500
CHELTENHAM EAST,1157500
CHELTENHAM NORTH,1050000
CHEWTON,782500
CHILTERN,397500
CHIRNSIDE PARK,920000
CHURCHILL,360000
CLARINDA,1090000
CLAYTON,1111000
CLAYTON NORTH,1322500
CLAYTON SOUTH,993000
CLIFTON HILL,1720000
CLIFTON SPRINGS,710000
CLUNES,500000
CLYDE,698000
CLYDE NORTH,740000
COBBLEBANK,645000
COBDEN,386000
COBRAM,417000
COBURG,1215000
COBURG EAST,1060000
COBURG NORTH,1012500
COCKATOO,770000
COHUNA,285000
COLAC,500000
COLDSTREAM,780000
COLERAINE,282000
COLLINGWOOD,1295500
CONNEWARRE,2570000
COOLAROO,530000
COONANS HILL,1207500
COONGULLA,377500
CORINELLA,777500
CORIO,520000
CORONET BAY,635000
CORRYONG,310000
COWES,875000
COWES WEST,820000
CRAIGIEBURN,660000
CRANBOURNE,660000
CRANBOURNE EAST,720000
CRANBOURNE NORTH,720000
CRANBOURNE SOUTH,820000
CRANBOURNE WEST,680000
CREMORNE,1312500
CRESWICK,542500
CRIB POINT,785000
CROYDON,900000
CROYDON HILLS,1104000
CROYDON NORTH,1069000
CROYDON SOUTH,864000
CURLEWIS,705000
DALLAS,525000
DALYSTON,580000
DANDENONG,740000
DANDENONG NORTH,740000
DANYO,170000
DARLEY,705000
DAYLESFORD,910000
DEANSIDE,610000
DEEPDENE,3001000
DEER PARK,635000
DELACOMBE,570000
DELAHEY,650000
DENNINGTON,616500
DERRIMUT,770000
DERRINALLUM,357500
DIAMOND CREEK,990000
DIGGERS REST,650500
DIMBOOLA,249000
DINGLEY VILLAGE,1112000
DINNER PLAIN,975000
DONALD,225000
DONCASTER,1500000
DONCASTER EAST,1535000
DONNYBROOK,665000
DONVALE,1440000
DOREEN,741500
DOVETON,625000
DROMANA,1100000
DROUIN,622000
DRUMCONDRA,1322500
DRYSDALE,744000
DUNKELD,432500
DUNOLLY,320000
EAGLE POINT,580000
EAGLEHAWK,507500
EAGLEMONT,2425000
EAST BAIRNSDALE,377500
EAST BENDIGO,570000
EAST GEELONG,846000
EAST MELBOURNE,3127500
EAST WARBURTON,620000
EASTWOOD,590000
ECHUCA,555000
EDENHOPE,225000
EDITHVALE,1366500
EILDON,430000
ELLIMINYT,675000
ELMORE,405000
ELSTERNWICK,2275000
ELTHAM,1261500
ELTHAM NORTH,1237000
ELWOOD,2600000
EMERALD,950000
ENDEAVOUR HILLS,815000
EPPING,677000
EPSOM,600000
ESSENDON,1825000
ESSENDON NORTH,1510000
ESSENDON WEST,1265500
EUMEMMERRING,750500
EUREKA,490000
EUROA,480000
EYNESBURY,707500
FAIRFIELD,1800000
FAIRHAVEN,2786000
FAWKNER,770000
FERNTREE GULLY,873000
FERNY CREEK,940000
FINGAL,1975000
FITZROY,1502500
FITZROY NORTH,1620000
FIVEWAYS,825000
FLEMINGTON,1103500
FLINDERS,3342000
FLORA HILL,550000
FLOWERDALE,530000
FOOTSCRAY,990000
FOREST HILL,1155500
FOSTER,595000
FRANKSTON,764500
FRANKSTON NORTH,610000
FRANKSTON SOUTH,1185000
FRASER RISE,717500
FYANSFORD,1065000
GARDEN CITY,1850000
GARDENVALE,2005000
GARFIELD,789000
GEELONG,892500
GEELONG WEST,990000
GEMBROOK,862500
GISBORNE,1052500
GLADSTONE PARK,730000
GLEN HUNTLY,1570000
GLEN IRIS,2500000
GLEN WAVERLEY,1560000
GLENGARRY,576500
GLENLYON,1000000
GLENROWAN,517000
GLENROY,850000
GOLDEN BEACH,355000
GOLDEN POINT (BALLARAT),545000
GOLDEN SQUARE,540000
GORDON,690000
GOUGHS BAY,710000
GOWANBRAE,900000
GRANTVILLE,622500
GREEN LAKE,440000
GREENSBOROUGH,996500
GREENVALE,880000
GROVEDALE,700000
HADFIELD,888000
HALLAM,720000
HALLS GAP,570000
HAMILTON,357000
HAMLYN HEIGHTS,770000
HAMPTON,2332000
HAMPTON EAST,1617500
HAMPTON PARK,665000
HARCOURT,705000
HARKNESS,595000
HASTINGS,729000
HASTINGS WEST,660000
HAWTHORN,2475000
HAWTHORN EAST,2521500
HEALESVILLE,810000
HEATHCOTE,490000
HEATHCOTE JUNCTION,905000
HEATHERTON,1147000
HEATHMONT,1077000
HEIDELBERG,1410000
HEIDELBERG HEIGHTS,1041000
HEIDELBERG WEST,807000
HEPBURN,675000
HEPBURN SPRINGS,925000
HERNE HILL,765000
HEYFIELD,370000
HEYWOOD,326500
HIGHETT,1465000
HIGHTON,950000
HILLSIDE (MELTON),789000
HOPETOUN,185000
HOPPERS CROSSING,620000
HORSHAM,380000
HUGHESDALE,1500000
HUNTINGDALE,1250000
HUNTLY,570000
HURSTBRIDGE,950000
INDENTED HEAD,875000
INGLEWOOD,390000
INVERLOCH,985000
INVERMAY PARK,670000
IRONBARK,525000
IRYMPLE,455000
IVANHOE,1970000
IVANHOE EAST,2200000
JACANA,642500
JACKASS FLAT,520000
JAMIESON,625000
JAN JUC,1400000
JEERALANG NORTH,402500
JEPARIT,150000
JUNCTION VILLAGE,635000
JUNORTOUN,885000
KALIMNA,510000
KALKALLO,650000
KALLISTA,1000000
KALORAMA,1060000
KANGAROO FLAT,535000
KANGAROO GROUND SOUTH,1130000
KANIVA,205000
KEALBA,705000
KEILOR,1000000
KEILOR DOWNS,770000
KEILOR EAST,992500
KEILOR LODGE,880000
KEILOR PARK,892500
KENNINGTON,595000
KENSINGTON,1200000
KERANG,275500
KEW,2850000
KEW EAST,2040000
KEW NORTH,2255000
KEYSBOROUGH,911500
KIALLA,640000
KILCUNDA,900000
KILLARA (WODONGA),658500
KILMORE,600000
KILSYTH,840000
KILSYTH SOUTH,1080000
KINGLAKE,770000
KINGS PARK,630000
KINGSBURY,782000
KINGSVILLE,1287500
KNOXFIELD,970000
KOO WEE RUP,700000
KOONDROOK,320000
KOROIT,560000
KORUMBURRA,515000
KURUNJANG,550000
KYABRAM,400000
KYNETON,897500
LAKE BOGA,391000
LAKE BUNGA,650000
LAKE GARDENS,752000
LAKE TYERS BEACH,655000
LAKE WENDOUREE,1225000
LAKES ENTRANCE,540000
LALOR,700000
LANCEFIELD,671500
LANG LANG,720000
LANGWARRIN,860000
LARA,700000
LARA LAKE,702000
LAUNCHING PLACE,767000
LAVERTON,610000
LAVERTON SOUTH,752000
LEITCHVILLE,250000
LENEVA,650000
LEONGATHA,590000
LEOPOLD,709000
LILYDALE,877500
LINDENOW,466000
LISMORE,277500
LOCH,468000
LOCH SPORT,390000
LOCKINGTON,339000
LONG GULLY,451500
LONGWARRY,575000
LORNE,2150000
LOVELY BANKS,767500
LOWER PLENTY,1335000
LUCAS,705000
LUCKNOW,449000
LYNBROOK,810000
LYNDHURST,952500
LYSTERFIELD,1260000
LYSTERFIELD SOUTH,1844000
MACEDON,1073000
MACLEOD,1140000
MACS COVE,560000
MADDINGLEY,635000
MAFFRA,378500
MAIDEN GULLY,760000
MAIDSTONE,885000
MALDON,756000
MALLACOOTA,500000
MALMSBURY,772500
MALVERN,3020000
MALVERN EAST,2275000
MAMBOURIN,631500
MANIFOLD HEIGHTS,1075000
MANOR LAKES,648000
MANSFIELD,732500
MARENGO,1600000
MARIBYRNONG,1160000
MARLO,686000
MARONG,650000
MARSHALL,676500
MARYBOROUGH,390000
MARYSVILLE,755000
MCCRAE,1280000
MCKENZIE HILL,755000
MCKINNON,1975000
MCLOUGHLINS BEACH,275000
MEADOW HEIGHTS,580000
MELTON,500000
MELTON SOUTH,515000
MELTON WEST,551000
MENTONE,1470000
MENZIES CREEK,960000
MERBEIN,320000
MEREDITH,590500
MERINDA PARK,657500
MERNDA,680000
MERRIGUM,266500
MERRIJIG (MANSFIELD),905000
METUNG,732500
MICKLEHAM,680000
MIDDLE PARK,2750000
MILDURA,423500
MILL PARK,786000
MILLGROVE,600000
MINERS REST,599500
MINYIP,155000
MIRBOO NORTH,565000
MITCHAM,1200000
MITCHELL PARK,487500
MOE,370000
MONBULK,799000
MONT ALBERT,2320000
MONT ALBERT NORTH,1643000
MONTMORENCY,1110000
MONTROSE,913500
MOONEE PONDS,1550000
MOORABBIN,1377500
MOOROOLBARK,870000
MOOROOPNA,387500
MORDIALLOC,1327000
MORNINGTON,1133500
MORTLAKE,327500
MORWELL,325000
MOUNT BEAUTY,572500
MOUNT CLEAR,522500
MOUNT DANDENONG,1075000
MOUNT DUNEED,770000
MOUNT EGERTON,600000
MOUNT ELIZA,1725000
MOUNT EVELYN,875000
MOUNT HELEN,632500
MOUNT MACEDON,1330000
MOUNT MARTHA,1880000
MOUNT PLEASANT,530000
MOUNT WAVERLEY,1506000
MULGRAVE,992000
MURCHISON,450000
MURRUMBEENA,1680000
MURTOA,244500
MYRTLEFORD,609000
NAGAMBIE,655000
NAR NAR GOON,800000
NARRE WARREN,747500
NARRE WARREN NORTH,1600000
NARRE WARREN SOUTH,800000
NATHALIA,350000
NATIMUK,330000
NEERIM SOUTH,600000
NELSON,410000
NERRINA,795000
NEW GISBORNE,875000
NEWBOROUGH,437500
NEWCOMB,605000
NEWHAVEN,897500
NEWINGTON,668000
NEWLANDS ARM,619500
NEWPORT,1280000
NEWSTEAD,625000
NEWTOWN (GREATER GEELONG),1220000
NHILL,211000
NICHOLS POINT,661000
NIDDRIE,1305000
NOBLE PARK,755000
NOBLE PARK NORTH,795000
NORLANE,481500
NORTH BENDIGO,513000
NORTH GEELONG,675000
NORTH MELBOURNE,1305000
NORTH SHORE,795000
NORTH WONTHAGGI,667000
NORTHCOTE,1656000
NOTTING HILL,1058000
NUMURKAH,346500
NUNAWADING,1150000
NYAH WEST,215000
OAK PARK,1155000
OAKLEIGH,1421000
OAKLEIGH EAST,1152500
OAKLEIGH SOUTH,1171500
OCEAN GROVE,1136500
OFFICER,700000
OFFICER SOUTH,850000
OLINDA,935500
OMEO,385000
ORBOST,344000
ORMOND,1875000
OSBORNE,1130000
OUYEN,170000
PAKENHAM,652000
PARADISE BEACH,415000
PARK ORCHARDS,1934000
PARKDALE,1530000
PARKVILLE,1910000
PASCOE VALE,1105000
PASCOE VALE SOUTH,1140000
PATTERSON GARDENS,1300500
PATTERSON LAKES,1494500
PAYNESVILLE,565000
PEARCEDALE,815000
PENSHURST,310000
PETERBOROUGH,701000
PIONEER BAY,491500
PLENTY,1543000
POINT COOK,780000
POINT LONSDALE,1525000
POOWONG,590000
POREPUNKAH,1035000
PORT ALBERT,467500
PORT FAIRY,1137500
PORT MELBOURNE,1646000
PORT WELSHPOOL,510000
PORTARLINGTON,980000
PORTLAND,450000
PORTLAND NORTH,560000
PORTSEA,3850000
PRAHRAN,1800000
PRESTON,1158000
PRINCES HILL,1892500
PYRAMID HILL,230000
QUAMBATOOK,157000
QUARRY HILL,613500
QUEENSCLIFF,1725000
RAINBOW,141000
RAWSON,337000
RAYMOND ISLAND,492500
RED CLIFFS,325000
RED HILL,1930000
REDAN,515000
RESEARCH,1395000
RESERVOIR,940000
RHYLL,925000
RICHMOND,1396500
RIDDELLS CREEK,865000
RINGWOOD,1036500
RINGWOOD EAST,975000
RINGWOOD NORTH,1200000
RIPPLESIDE,1190000
RIPPONLEA,1530000
ROBINVALE,315000
ROCHESTER,432500
ROCKBANK,622500
ROMSEY,839000
ROSANNA,1215000
ROSEBUD,812500
ROSEBUD SOUTH,1085000
ROSEDALE,420000
ROWVILLE,1080000
ROXBURGH PARK,652000
RUPANYUP,195000
RUSHWORTH,352500
RUTHERGLEN,486500
RYE,1192500
SAFETY BEACH,1250000
SAILORS GULLY,539000
SALE,490000
SAN REMO,1020000
SANCTUARY LAKES,750000
SANDHURST,1009000
SANDRINGHAM,2384000
SANDY POINT,820000
SASSAFRAS,1020000
SAWMILL SETTLEMENT,637500
SCORESBY,970500
SEA LAKE,173000
SEABROOK,755000
SEAFORD,880000
SEAHOLME,1120000
SEASPRAY,390000
SEBASTOPOL,482500
SEDDON,1050000
SELBY,787500
SEVILLE,812500
SEVILLE EAST,700000
SEYMOUR,450000
SHEPPARTON,430000
SHEPPARTON NORTH,616000
SHOREHAM,2180000
SILVERLEAVES,990500
SKENES CREEK,1270000
SKIPTON,360000
SKYE,770000
SMITHS BEACH,980000
SMYTHES CREEK,590000
SMYTHESDALE,550000
SOLDIERS HILL,700000
SOMERS,1765000
SOMERVILLE,811000
SORRENTO,2355000
SOUTH GEELONG,970000
SOUTH KINGSVILLE,972500
SOUTH MELBOURNE,1850000
SOUTH MORANG,765000
SOUTH YARRA,1937500
SPOTSWOOD,1260000
SPRING GULLY,610000
SPRINGVALE,885000
SPRINGVALE SOUTH,817500
ST ALBANS,680500
ST ALBANS PARK,651000
ST ANDREWS BEACH,1582500
ST ARNAUD,310000
ST HELENA,1202500
ST KILDA,1635000
ST KILDA EAST,1770000
ST KILDA WEST,2505000
ST LEONARDS,805000
STANHOPE,217000
STAWELL,352500
STRATFORD,472000
STRATHDALE,671500
STRATHFIELDSAYE,705000
STRATHMERTON,325000
STRATHMORE,1605000
STRATHMORE HEIGHTS,952500
STRATHTULLOH,629500
STUDFIELD,955000
SUNBURY,670000
SUNDERLAND BAY,677500
SUNNYCLIFFS,291000
SUNSET STRIP,754000
SUNSHINE,855000
SUNSHINE NORTH,750000
SUNSHINE WEST,751500
SURF BEACH,890000
SURREY HILLS,2320000
SWAN HILL,405000
SWAN REACH,690500
SYDENHAM,707500
SYNDAL,1867500
TALLANGATTA,436000
TANGAMBALANGA,576000
TARNEIT,650000
TATURA,450000
TAWONGA,620000
TAWONGA SOUTH,641000
TAYLORS HILL,908000
TAYLORS LAKES,935000
TECOMA,837500
TEMPLESTOWE,1621500
TEMPLESTOWE LOWER,1390000
TERANG,365000
THE BASIN,853000
THE HONEYSUCKLES,485000
THE PATCH,872000
THOMASTOWN,710000
THOMSON (GREATER GEELONG),575000
THORNBURY,1455000
THORNHILL PARK,600000
TIMBOON,440000
TONGALA,377000
TOONGABBIE,525000
TOORA,430000
TOORADIN,910000
TOORAK,6200000
TOOTGAROOK,950000
TORQUAY,1340000
TRAFALGAR,590000
TRARALGON,484000
TRARALGON EAST,722000
TRAVANCORE,1455000
TRENTHAM,1037500
TRUGANINA,657500
TULLAMARINE,760000
TYABB,785000
UNDERBOOL,-
UPPER FERNTREE GULLY,885000
UPWEY,890000
VENTNOR,867500
VENUS BAY,675000
VERMONT,1200000
VERMONT SOUTH,1419000
VIEWBANK,1220000
VIOLET TOWN,385000
WAHGUNYAH,530000
WALKERVILLE,559000
WALLAN,630000
WALLAN EAST,610000
WANDANA HEIGHTS,1135000
WANDIN NORTH,805000
WANDONG,719000
WANGARATTA,530000
WANTIRNA,1102500
WANTIRNA SOUTH,1225000
WARBURTON,733500
WARNEET,719000
WARRACKNABEAL,228500
WARRAGUL,652000
WARRANDYTE,1300000
WARRANWOOD,1345000
WARRNAMBOOL,602000
WATERWAYS,1475000
WATSONIA,908500
WATSONIA NORTH,897500
WATTLE GLEN,950000
WAURN PONDS,801500
WEDDERBURN,310000
WEIR VIEWS,579000
WELSHPOOL,425000
WENDOUREE,497500
WENDOUREE WEST,390000
WERRIBEE,614000
WERRIBEE SOUTH,855000
WESBURN,661000
WEST BENDIGO,565000
WEST FOOTSCRAY,960500
WEST MELBOURNE,1387500
WEST WODONGA,515000
WESTALL,891500
WESTGARTH,1912500
WESTMEADOWS,694000
WHEELERS HILL,1440000
WHITE HILLS,510000
WHITTINGTON,532500
WHITTLESEA,740000
WILLIAMS LANDING,795000
WILLIAMSTOWN,1662500
WILLIAMSTOWN NORTH,1021500
WILLOW GROVE,452500
WIMBLEDON HEIGHTS,670000
WINCHELSEA,640000
WINDSOR,1650000
WINTER VALLEY,624000
WODONGA,520000
WOLLERT,710000
WONGA PARK,1415000
WONTHAGGI,610000
WOODEND,875000
WOOLAMAI WATERS,870000
WOORI YALLOCK,670000
WURRUK,430000
WY YUNG,492500
WYCHEPROOF,185000
WYNDHAM VALE,580000
YACKANDANDAH,670000
YALLAMBIE,1023000
YALLOURN NORTH,325000
YARRA GLEN,795000
YARRA JUNCTION,710000
YARRAGON,595000
YARRAM,462500
YARRAVILLE,1205000
YARRAWONGA,665000
YEA,617500
YINNAR,550500